Indian Non Veg Plater,0.0,0.0,999.0,0.0,0.0
Tandoori Non Veg Plater,0.0,0.0,999.0,0.0,0.0
Cheness Non Veg Plater,0.0,0.0,999.0,0.0,0.0
Gongura Prawns Biryani,460.0,480.0,510.0,480.0,460.0
Carrot Salad,120.0,130.0,0.0,130.0,130.0
Friut Salad,149.0,149.0,170.0,149.0,149.0
Cashew Mushroom Curry,310.0,330.0,360.0,330.0,310.0
Mutton Fry Biryani Family Pack,1200.0,1250.0,1310.0,1250.0,1200.0
Antiquity 750Ml,0.0,0.0,0.0,0.0,1430.0
Cashew Tomato Curry,310.0,330.0,360.0,330.0,310.0
Kalyani Beer 650Ml,330.0,350.0,360.0,350.0,180.0
Stok Strong Beer,350.0,370.0,380.0,370.0,220.0
Stok Leger Beer,350.0,370.0,380.0,370.0,220.0
Projecter 4,0.0,3000.0,0.0,0.0,0.0
Other Charges,0.0,700.0,0.0,0.0,0.0
Cocktail 599,599.0,599.0,0.0,599.0,0.0
ANDHRA CHICKEN CURRY BONES,350.0,370.0,400.0,370.0,350.0
KADAI CHICKEN CURRY BONES,350.0,370.0,400.0,370.0,350.0
GONGURA CHICKEN CURRY BONES,370.0,390.0,420.0,390.0,370.0
BUTTER CHICKEN CURRY BONES,370.0,390.0,420.0,390.0,370.0
CHICKEN TIKKA MASALA BONES,380.0,400.0,430.0,400.0,380.0
PRAWNS FRY,430.0,450.0,480.0,450.0,430.0
FRENCH FRIES,200.0,220.0,240.0,220.0,200.0
FISH FRY B/L,410.0,430.0,460.0,430.0,410.0
FISH ROAST BONES,410.0,430.0,460.0,430.0,410.0
PUCKET FISH B/L,370.0,390.0,430.0,390.0,370.0
CHILLI FISH B/L,370.0,390.0,420.0,390.0,370.0
APOLLO FISH B/L,380.0,400.0,430.0,400.0,380.0
VELVET FISH B/L,370.0,390.0,430.0,390.0,370.0
FISH CURRY B/L,380.0,400.0,430.0,400.0,380.0
FISH PULUSU BONES,410.0,430.0,460.0,430.0,410.0
FISH BIRYANI,390.0,410.0,440.0,410.0,390.0
CHILLI PRAWNS,430.0,450.0,480.0,450.0,430.0
CRISPY CORN,200.0,220.0,250.0,220.0,200.0
LOOSE PRAWNS,430.0,450.0,480.0,450.0,430.0
GOLDEM FRIED PRAWNS,430.0,450.0,480.0,450.0,430.0
PRAWNS 85,430.0,450.0,480.0,450.0,430.0
DRAGON PRAWNS,430.0,450.0,480.0,450.0,430.0
VELVET PRAWNS,460.0,480.0,510.0,480.0,460.0
PRAWNS CURRY,430.0,450.0,480.0,450.0,430.0
